animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
112	0.075	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
113	0.085	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
114	0.075	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
115	0.08	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
116	0.069	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
117	0.078	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
118	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
119	0.074	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
120	0.071	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
121	0.069	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
122	0.08	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
123	0.072	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
124	0.076	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
125	0.084	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
126	0.082	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
127	0.099	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
128	0.087	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
129	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
130	0.072	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
131	0.086	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
132	0.08	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
133	0.073	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
134	0.064	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
135	0.078	AD	L	H	H	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
