animal	Length	Family	Sire	Dam	Salinity	SireID	DamID
246	0.062	AU	H	L	H	SH11	DL4
247	0.061	AU	H	L	H	SH11	DL4
248	0.073	AU	H	L	H	SH11	DL4
249	0.089	AU	H	L	H	SH11	DL4
250	0.073	AU	H	L	H	SH11	DL4
251	0.068	AU	H	L	H	SH11	DL4
252	0.061	AU	H	L	H	SH11	DL4
253	0.083	AU	H	L	H	SH11	DL4
254	0.091	AU	H	L	H	SH11	DL4
255	0.078	AU	H	L	H	SH11	DL4
256	0.071	AU	H	L	H	SH11	DL4
257	0.089	AV	H	L	L	SH11	DL5
258	0.053	AV	H	L	L	SH11	DL5
259	0.058	AV	H	L	L	SH11	DL5
260	0.063	AV	H	L	L	SH11	DL5
261	0.077	AV	H	L	L	SH11	DL5
262	0.065	AV	H	L	L	SH11	DL5
263	0.065	AV	H	L	L	SH11	DL5
264	0.069	AV	H	L	L	SH11	DL5
265	0.071	AV	H	L	L	SH11	DL5
266	0.062	AV	H	L	L	SH11	DL5
267	0.086	AV	H	L	L	SH11	DL5
268	0.071	AV	H	L	L	SH11	DL5
269	0.075	AV	H	L	L	SH11	DL5
270	0.072	AV	H	L	L	SH11	DL5
271	0.075	AV	H	L	L	SH11	DL5
272	0.08	AV	H	L	L	SH11	DL5
273	0.067	AV	H	L	L	SH11	DL5
274	0.059	AV	H	L	L	SH11	DL5
275	0.059	AV	H	L	L	SH11	DL5
276	0.071	AV	H	L	L	SH11	DL5
277	0.08	AV	H	L	L	SH11	DL5
278	0.062	AV	H	L	L	SH11	DL5
279	0.077	AV	H	L	L	SH11	DL5
280	0.094	AV	H	L	L	SH11	DL5
281	0.07	AV	H	L	L	SH11	DL5
282	0.063	AV	H	L	L	SH11	DL5
283	0.064	AV	H	L	L	SH11	DL5
284	0.073	AV	H	L	L	SH11	DL5
285	0.071	AV	H	L	L	SH11	DL5
286	0.074	AV	H	L	L	SH11	DL5
287	0.076	AV	H	L	H	SH11	DL5
288	0.07	AV	H	L	H	SH11	DL5
289	0.091	AV	H	L	H	SH11	DL5
290	0.087	AV	H	L	H	SH11	DL5
291	0.087	AV	H	L	H	SH11	DL5
292	0.091	AV	H	L	H	SH11	DL5
293	0.077	AV	H	L	H	SH11	DL5
294	0.079	AV	H	L	H	SH11	DL5
295	0.058	AV	H	L	H	SH11	DL5
296	0.062	AV	H	L	H	SH11	DL5
297	0.087	AV	H	L	H	SH11	DL5
298	0.06	AV	H	L	H	SH11	DL5
299	0.078	AV	H	L	H	SH11	DL5
300	0.078	AV	H	L	H	SH11	DL5
301	0.06	AV	H	L	H	SH11	DL5
302	0.074	AV	H	L	H	SH11	DL5
303	0.084	AV	H	L	H	SH11	DL5
304	0.061	AV	H	L	H	SH11	DL5
305	0.077	AV	H	L	H	SH11	DL5
306	0.066	AV	H	L	H	SH11	DL5
307	0.059	AV	H	L	H	SH11	DL5
308	0.082	AV	H	L	H	SH11	DL5
309	0.057	AV	H	L	H	SH11	DL5
310	0.06	AV	H	L	H	SH11	DL5
311	0.084	AV	H	L	H	SH11	DL5
312	0.088	AV	H	L	H	SH11	DL5
313	0.09	AV	H	L	H	SH11	DL5
314	0.08	AV	H	L	H	SH11	DL5
315	0.07	AV	H	L	H	SH11	DL5
316	0.08	AV	H	L	H	SH11	DL5
317	0.089	AV	H	L	H	SH11	DL5
318	0.077	AV	H	L	H	SH11	DL5
319	0.081	AV	H	L	H	SH11	DL5
320	0.076	AV	H	L	H	SH11	DL5
321	0.083	AV	H	L	H	SH11	DL5
322	0.077	AV	H	L	H	SH11	DL5
323	0.099	AV	H	L	H	SH11	DL5
324	0.094	AV	H	L	H	SH11	DL5
325	0.102	AV	H	L	H	SH11	DL5
326	0.072	AV	H	L	H	SH11	DL5
327	0.073	AV	H	L	H	SH11	DL5
328	0.08	AV	H	L	H	SH11	DL5
329	0.091	AV	H	L	H	SH11	DL5
330	0.065	AV	H	L	H	SH11	DL5
331	0.094	AV	H	L	H	SH11	DL5
332	0.085	AV	H	L	H	SH11	DL5
333	0.09	AV	H	L	H	SH11	DL5
334	0.079	AV	H	L	H	SH11	DL5
335	0.088	AV	H	L	H	SH11	DL5
336	0.064	AV	H	L	H	SH11	DL5
337	0.085	AV	H	L	H	SH11	DL5
338	0.101	AV	H	L	H	SH11	DL5
339	0.093	AV	H	L	H	SH11	DL5
340	0.052	AW	H	H	L	SH11	DH4
341	0.056	AW	H	H	L	SH11	DH4
342	0.057	AW	H	H	L	SH11	DH4
343	0.049	AW	H	H	L	SH11	DH4
344	0.057	AW	H	H	L	SH11	DH4
345	0.055	AW	H	H	L	SH11	DH4
346	0.091	AW	H	H	L	SH11	DH4
347	0.058	AW	H	H	L	SH11	DH4
348	0.056	AW	H	H	L	SH11	DH4
349	0.052	AW	H	H	L	SH11	DH4
350	0.056	AW	H	H	L	SH11	DH4
351	0.063	AW	H	H	L	SH11	DH4
352	0.058	AW	H	H	L	SH11	DH4
353	0.055	AW	H	H	L	SH11	DH4
354	0.057	AW	H	H	L	SH11	DH4
355	0.059	AW	H	H	L	SH11	DH4
356	0.059	AW	H	H	L	SH11	DH4
357	0.06	AW	H	H	L	SH11	DH4
358	0.055	AW	H	H	L	SH11	DH4
359	0.083	AW	H	H	L	SH11	DH4
360	0.059	AW	H	H	L	SH11	DH4
361	0.061	AW	H	H	L	SH11	DH4
362	0.061	AW	H	H	L	SH11	DH4
363	0.061	AW	H	H	L	SH11	DH4
364	0.061	AW	H	H	L	SH11	DH4
365	0.053	AW	H	H	L	SH11	DH4
366	0.052	AW	H	H	L	SH11	DH4
367	0.058	AW	H	H	L	SH11	DH4
368	0.066	AW	H	H	L	SH11	DH4
369	0.094	AW	H	H	L	SH11	DH4
370	0.057	AW	H	H	H	SH11	DH4
371	0.06	AW	H	H	H	SH11	DH4
372	0.064	AW	H	H	H	SH11	DH4
373	0.056	AW	H	H	H	SH11	DH4
374	0.053	AW	H	H	H	SH11	DH4
375	0.054	AW	H	H	H	SH11	DH4
376	0.073	AW	H	H	H	SH11	DH4
377	0.07	AW	H	H	H	SH11	DH4
378	0.074	AW	H	H	H	SH11	DH4
379	0.061	AW	H	H	H	SH11	DH4
380	0.061	AW	H	H	H	SH11	DH4
381	0.063	AW	H	H	H	SH11	DH4
382	0.087	AW	H	H	H	SH11	DH4
383	0.059	AW	H	H	H	SH11	DH4
384	0.056	AW	H	H	H	SH11	DH4
385	0.06	AW	H	H	H	SH11	DH4
386	0.067	AW	H	H	H	SH11	DH4
387	0.065	AW	H	H	H	SH11	DH4
388	0.062	AW	H	H	H	SH11	DH4
389	0.059	AW	H	H	H	SH11	DH4
390	0.059	AW	H	H	H	SH11	DH4
391	0.058	AW	H	H	H	SH11	DH4
392	0.053	AW	H	H	H	SH11	DH4
393	0.057	AW	H	H	H	SH11	DH4
394	0.055	AW	H	H	H	SH11	DH4
395	0.059	AW	H	H	H	SH11	DH4
396	0.063	AW	H	H	H	SH11	DH4
397	0.054	AW	H	H	H	SH11	DH4
398	0.059	AW	H	H	H	SH11	DH4
