animal	FATHER	MOTHER
685	SL6	DH5
686	SL6	DH5
687	SL6	DH5
688	SL6	DH5
689	SL6	DH5
690	SL6	DH5
691	SL6	DH5
692	SL6	DH5
693	SL6	DH5
694	SL6	DH5
695	SH12	DL8
696	SH12	DL8
697	SH12	DL8
698	SH12	DL8
699	SH12	DL8
700	SH12	DL8
701	SH12	DL8
702	SH12	DL8
703	SH12	DL8
704	SH12	DL8
705	SH12	DL8
706	SH12	DL8
707	SH12	DL8
708	SH12	DL8
709	SH12	DL8
710	SH12	DL8
711	SH12	DL8
712	SH12	DL8
713	SH12	DL8
714	SH12	DL8
715	SH12	DL8
716	SH12	DL8
717	SH12	DL8
718	SH12	DL8
719	SH12	DL8
720	SH12	DL8
721	SH12	DL8
722	SH12	DL8
723	SH12	DL8
724	SH12	DL8
725	SH12	DL8
726	SH12	DL8
727	SH12	DL8
728	SH12	DL8
729	SH12	DL8
730	SH12	DL8
731	SH12	DL8
732	SH12	DL8
733	SH12	DL8
734	SH12	DL8
735	SH12	DL8
736	SH12	DL8
737	SH12	DL8
738	SH12	DL8
739	SH12	DL8
740	SH12	DL8
741	SH12	DL8
742	SH12	DL9
743	SH12	DL9
744	SH12	DL9
745	SH12	DL9
746	SH12	DL9
747	SH12	DL9
748	SH12	DL9
749	SH12	DL9
750	SH12	DL9
751	SH12	DL9
752	SH12	DL9
753	SH12	DL9
754	SH12	DL9
755	SH12	DL9
756	SH12	DL9
757	SH12	DL9
758	SH12	DL9
759	SH12	DL9
760	SH12	DL9
761	SH12	DL9
762	SH12	DL9
763	SH12	DL9
764	SH12	DL9
765	SH12	DL9
766	SH12	DL9
767	SH12	DL9
768	SH12	DL9
769	SH12	DL9
770	SH12	DL9
771	SH12	DL9
772	SH12	DL9
773	SH12	DL9
774	SH12	DL9
775	SH12	DL9
776	SH12	DL9
777	SH12	DL9
778	SH12	DL9
779	SH12	DL9
780	SH12	DL9
781	SH12	DL9
782	SH12	DL9
783	SH12	DL9
784	SH12	DL9
785	SH12	DL9
786	SH12	DL9
787	SH12	DL9
788	SH12	DL9
789	SH12	DL9
790	SH12	DL9
791	SH12	DL9
792	SH12	DL9
793	SH12	DL9
794	SH12	DL9
795	SH12	DL9
796	SH12	DL9
797	SH12	DL9
798	SH12	DL9
799	SH12	DL9
800	SH12	DL9
801	SH12	DL9
802	SH12	DL9
803	SH12	DL9
804	SH12	DL9
805	SH12	DL9
806	SH12	DL9
807	SH12	DL9
808	SH12	DL9
809	SH12	DL9
810	SH12	DL9
811	SH12	DL9
812	SH12	DL9
813	SH12	DL9
814	SH12	DH4
815	SH12	DH4
816	SH12	DH4
817	SH12	DH4
818	SH12	DH4
819	SH12	DH4
820	SH12	DH4
821	SH12	DH4
822	SH12	DH4
823	SH12	DH4
824	SH12	DH4
825	SH12	DH4
826	SH12	DH4
827	SH12	DH4
828	SH12	DH4
829	SH12	DH4
830	SH12	DH4
831	SH12	DH4
832	SH12	DH4
833	SH12	DH4
834	SH12	DH4
835	SH12	DH4
836	SH12	DH4
837	SH12	DH4
838	SH12	DH4
839	SH12	DH4
840	SH12	DH4
841	SH12	DH4
842	SH12	DH4
843	SH12	DH4
844	SH12	DH4
845	SH12	DH4
846	SH12	DH4
847	SH12	DH4
848	SH12	DH4
849	SH12	DH4
850	SH12	DH4
851	SH12	DH4
852	SH12	DH4
853	SH12	DH4
854	SH12	DH4
855	SH12	DH4
856	SH12	DH4
857	SH12	DH4
858	SH12	DH4
859	SH12	DH4
860	SH12	DH4
861	SH12	DH4
862	SH12	DH4
863	SH12	DH4
864	SH12	DH4
865	SH12	DH4
866	SH12	DH4
867	SH12	DH4
868	SH12	DH4
869	SH12	DH4
870	SH12	DH4
871	SH12	DH4
872	SH12	DH4
873	SH12	DH4
874	SH12	DH4
875	SH12	DH4
876	SH12	DH4
877	SH12	DH4
878	SH12	DH4
879	SH12	DH4
880	SH12	DH4
881	SH12	DH4
882	SH12	DH4
883	SH12	DH4
884	SH12	DH4
885	SH12	DH4
886	SH12	DH4
887	SH12	DH4
888	SH12	DH4
889	SH12	DH4
890	SH12	DH4
891	SH12	DH4
892	SH12	DH4
893	SH12	DH4
894	SH7	DH2
895	SH7	DH2
896	SH7	DH2
897	SH7	DH2
898	SH7	DH2
899	SH7	DH2
900	SH7	DH2
901	SH7	DH2
902	SH7	DH2
903	SH7	DH2
904	SH7	DH2
905	SH7	DH2
906	SH7	DH2
907	SH7	DH2
908	SH7	DH2
909	SH7	DH2
910	SH7	DH2
911	SH7	DH2
912	SH7	DH2
913	SH7	DH2
914	SH7	DH2
915	SH7	DH2
916	SH7	DH2
917	SH7	DH2
918	SH7	DH2
919	SH7	DH2
920	SH7	DH2
921	SH7	DH2
922	SH7	DH2
923	SH7	DH2
924	SH7	DH2
925	SH7	DH2
926	SH7	DH2
927	SH7	DH2
928	SH7	DH2
929	SH7	DH2
930	SH7	DH2
931	SH7	DH2
932	SH7	DH2
933	SH7	DH2
934	SH7	DH2
935	SH7	DH2
936	SH7	DH2
937	SH7	DH2
938	SH7	DH2
939	SH7	DH2
940	SH7	DH2
941	SH7	DH2
942	SH7	DH2
943	SH7	DH2
944	SH7	DH2
945	SH7	DH2
946	SH7	DH2
947	SH7	DH2
948	SH7	DH2
949	SH7	DH2
950	SH7	DH2
951	SH7	DH2
952	SH7	DH2
953	SH7	DH2
954	SH7	DH2
955	SH7	DH2
956	SH7	DH2
957	SH7	DH2
958	SH7	DH2
959	SH7	DH2
960	SH7	DH2
961	SH7	DH2
962	SH7	DH2
963	SH7	DH2
964	SH7	DH2
965	SH7	DH2
966	SH7	DH2
967	SH7	DH2
968	SH7	DH2
969	SH7	DH2
970	SH7	DH2
971	SH7	DH2
972	SH7	DH2
973	SH7	DH2
974	SH7	DH2
975	SH7	DH2
976	SH7	DH2
977	SH7	DH2
978	SH7	DH2
979	SH7	DH2
980	SH7	DH2
981	SH7	DH2
982	SH7	DH2
983	SH7	DH2
984	SH7	DH2
985	SH7	DH2
986	SH7	DH2
987	SH7	DH2
988	SH7	DH2
989	SH7	DH2
990	SH7	DH2
991	SH7	DH2
992	SH7	DH2
993	SH7	DH2
994	SH8	DL3
995	SH8	DL3
996	SH8	DL3
997	SH8	DL3
998	SH8	DL3
999	SH8	DL3
1000	SH8	DL3
1001	SH8	DL3
1002	SH8	DL3
1003	SH8	DL3
1004	SH8	DL3
1005	SH8	DL3
1006	SH8	DL3
1007	SH8	DL3
1008	SH8	DL3
1009	SH8	DL3
1010	SH8	DL3
1011	SH8	DL3
1012	SH8	DL3
1013	SH8	DL3
1014	SH8	DL3
1015	SH8	DL3
1016	SH8	DL3
1017	SH8	DL3
1018	SH8	DL3
1019	SH8	DL3
1020	SH8	DL3
1021	SH8	DL3
1022	SH8	DL3
1023	SH8	DL3
1024	SH8	DL3
1025	SH8	DL3
1026	SH8	DL3
1027	SH8	DL3
1028	SH8	DL3
1029	SH8	DL3
1030	SH8	DL3
1031	SH8	DL3
1032	SH8	DL3
1033	SH8	DL3
1034	SH8	DL3
1035	SH8	DL3
1036	SH8	DL3
1037	SH8	DL3
1038	SH8	DL3
1039	SH8	DL3
1040	SH8	DL3
1041	SH8	DL3
1042	SH8	DL3
1043	SH8	DL3
1044	SH8	DL3
1045	SH8	DL3
1046	SH8	DL3
1047	SH8	DL3
1048	SH8	DL3
1049	SH8	DL3
1050	SH8	DL3
1051	SH8	DL3
1052	SH8	DL3
1053	SH8	DL3
1054	SH8	DL3
1055	SH8	DL3
1056	SH8	DL3
1057	SH8	DL3
1058	SH8	DL3
1059	SH8	DL3
1060	SH8	DL3
1061	SH8	DL3
1062	SH8	DL3
1063	SH8	DL3
1064	SH8	DL3
1065	SH8	DL3
1066	SH8	DL3
1067	SH8	DL3
1068	SH8	DL3
1069	SH8	DL3
1070	SH8	DL3
1071	SH8	DL3
1072	SH8	DL3
1073	SH8	DL3
1074	SH8	DL3
1075	SH8	DL3
1076	SH8	DL3
1077	SH8	DL3
1078	SH8	DL3
1079	SH8	DL3
1080	SH8	DH3
1081	SH8	DH3
1082	SH8	DH3
1083	SH8	DH3
1084	SH8	DH3
1085	SH8	DH3
1086	SH8	DH3
1087	SH8	DH3
1088	SH8	DH3
1089	SH8	DH3
1090	SH8	DH3
1091	SH8	DH3
1092	SH8	DH3
1093	SH8	DH3
1094	SH8	DH3
1095	SH8	DH3
1096	SH8	DH3
1097	SH8	DH3
1098	SH8	DH3
1099	SH8	DH3
1100	SH8	DH3
1101	SH8	DH3
1102	SH8	DH3
1103	SH8	DH3
1104	SH8	DH3
1105	SH8	DH3
1106	SH8	DH3
1107	SH8	DH3
1108	SH8	DH3
1109	SH8	DH3
1110	SH8	DH3
1111	SH8	DH3
1112	SH8	DH3
1113	SH8	DH3
1114	SH8	DH3
1115	SH8	DH3
1116	SH8	DH3
1117	SH8	DH3
1118	SH8	DH3
1119	SH8	DH3
1120	SH8	DH3
1121	SH8	DH3
1122	SH8	DH3
1123	SH8	DH3
1124	SH8	DH3
1125	SH8	DH3
1126	SH8	DH3
1127	SH8	DH3
1128	SH8	DH3
1129	SH8	DH3
1130	SH8	DH3
1131	SH8	DH3
1132	SH8	DH3
1133	SH8	DH3
1134	SH8	DH3
1135	SH8	DH3
1136	SH8	DH3
1137	SH8	DH3
1138	SH8	DH3
1139	SH8	DH3
1140	SH8	DH3
1141	SH8	DH3
1142	SH8	DH3
1143	SH8	DH3
1144	SH8	DH3
1145	SH8	DH3
1146	SH8	DH3
1147	SH8	DH3
1148	SH8	DH3
1149	SH8	DH3
1150	SH8	DH3
1151	SH8	DH3
1152	SH8	DH3
1153	SH8	DH3
1154	SH8	DH3
1155	SH12	DH5
1156	SH12	DH5
1157	SH12	DH5
1158	SH12	DH5
1159	SH12	DH5
1160	SH12	DH5
1161	SH12	DH5
1162	SH12	DH5
1163	SH12	DH5
1164	SH12	DH5
1165	SH12	DH5
1166	SH12	DH5
1167	SH12	DH5
1168	SH12	DH5
1169	SH12	DH5
1170	SH12	DH5
1171	SH12	DH5
1172	SH12	DH5
1173	SH12	DH5
1174	SH12	DH5
1175	SH12	DH5
1176	SH12	DH5
1177	SH12	DH5
1178	SH12	DH5
1179	SH12	DH5
1180	SH12	DH5
1181	SH12	DH5
1182	SH12	DH5
1183	SH12	DH5
1184	SH12	DH5
1185	SH13	DH6
1186	SH13	DH6
1187	SH13	DH6
1188	SH13	DH6
1189	SH13	DH6
1190	SH13	DH6
1191	SH13	DH6
1192	SH13	DH6
1193	SH13	DH6
1194	SH13	DH6
1195	SH13	DH6
1196	SH13	DH6
1197	SH13	DH6
1198	SH13	DH6
1199	SH13	DH6
1200	SH13	DH6
1201	SH13	DH6
1202	SH13	DH6
1203	SH13	DH6
1204	SH13	DH6
1205	SH13	DH6
1206	SH13	DH6
1207	SH13	DH6
1208	SH13	DH6
1209	SH13	DH6
1210	SH13	DH6
1211	SH13	DH6
1212	SH13	DH6
1213	SH13	DH6
1214	SH13	DH6
1215	SH13	DH6
1216	SH13	DH6
1217	SH13	DH6
1218	SH13	DH6
1219	SH13	DH6
1220	SH13	DH6
1221	SH13	DH6
1222	SH13	DH6
1223	SH13	DH6
1224	SH13	DH6
1225	SH13	DH6
1226	SH13	DH6
1227	SH13	DH6
1228	SH13	DH6
1229	SH13	DH6
1230	SH13	DH6
1231	SH13	DH6
1232	SH13	DH6
1233	SH13	DH6
1234	SH13	DH6
1235	SH13	DH6
1236	SH13	DH6
1237	SH13	DH6
1238	SH13	DH6
1239	SH13	DH6
1240	SH13	DH6
1241	SH13	DH6
1242	SH13	DH6
1243	SH13	DH6
1244	SH13	DH6
1245	SH13	DH6
1246	SH13	DH6
1247	SH13	DH6
1248	SH13	DH6
1249	SH13	DH6
1250	SH13	DH6
1251	SH13	DH6
1252	SH13	DH6
1253	SH13	DH6
1254	SH13	DH6
1255	SH13	DH6
1256	SH13	DH6
1257	SH13	DH6
1258	SH13	DH6
1259	SH13	DH6
1260	SH13	DH6
1261	SH13	DH6
1262	SH13	DH6
1263	SH13	DH6
1264	SH13	DH6
1265	SH13	DH6
1266	SH13	DH6
1267	SH13	DH6
1268	SH13	DH6
1269	SH13	DH6
1270	SL8	DL10
1271	SL8	DL10
1272	SL8	DL10
1273	SL8	DL10
1274	SL8	DL10
1275	SL8	DL10
1276	SL8	DL10
1277	SL8	DL10
1278	SL8	DL10
1279	SL8	DL10
1280	SL8	DL10
1281	SL8	DL10
1282	SL8	DL10
1283	SL8	DL10
1284	SL8	DL10
1285	SL8	DL10
1286	SL8	DL10
1287	SL8	DL10
1288	SL8	DL10
1289	SL8	DL10
1290	SL8	DL10
1291	SL8	DL10
1292	SL8	DL10
1293	SL8	DL10
1294	SL8	DL10
1295	SL8	DL10
1296	SL8	DL10
1297	SL8	DL10
1298	SL8	DL10
1299	SL8	DL10
1300	SL8	DL10
1301	SL8	DL10
1302	SL8	DL10
1303	SL8	DL10
1304	SL8	DL10
1305	SL8	DL10
1306	SL8	DL10
1307	SL8	DL10
1308	SL8	DL10
1309	SL8	DL10
1310	SL8	DL10
1311	SL8	DL10
1312	SL8	DL10
1313	SL8	DL10
1314	SL8	DL10
1315	SL8	DL10
1316	SL8	DL10
1317	SL8	DL10
1318	SL8	DL10
1319	SL8	DL10
1320	SL8	DL10
1321	SL8	DL10
